"ID","lon","lat","depth","study","BIO","MAT","RAD","MAP","DRY","PET","PH","CEC","BLD","ORC","CLY","SLT","SND","AWC","CWC","NPP"
"1714.McG.LB210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.LB02",102.313,2.982,0.01,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,14.5,1125.5,55.5,32.5,23,44,55.5861257694631,0.259385091276017,868.5
"1714.McG.LC210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.LC02",102.313,2.982,0.01,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,14.5,1125.5,55.5,32.5,23,44,55.5861257694631,0.259385091276017,868.5
"1714.McG.PB210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.PA210",102.313,2.982,0.06,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,13.5,1193,57,32.5,23,44.5,53.7822774830324,0.250387063827027,868.5
"1714.McG.PA02",102.313,2.982,0.01,"EMP",1,26.7569179534912,16011.3333333333,1869.97009277344,3.77950183748469,5.07825227242757,4.7,14.5,1125.5,55.5,32.5,23,44,55.5861257694631,0.259385091276017,868.5
"1716.McG.PAPrS22",-79.75312772,9.152961446,0.1,"EMP",1,26.4791660308838,19385.4166666667,2484.35400390625,5.02451225612806,6.09491303754624,5.2,27,1273.5,59.5,34,25,41.5,51.5248975214955,0.228750638978061,931.4
"1716.McG.PAPrS23",-79.74403565,9.152934489,0.1,"EMP",1,26.3424987792969,19322.0833333333,2484.35400390625,5.02451225612806,6.04697548272777,5.1,26,1276,55,34.5,26,39.5,51.4248358781046,0.228467521882494,948.6
"1716.McG.PAPrS25",-79.74400189,9.161976114,0.1,"EMP",1,26.3424987792969,19322.0833333333,2484.35400390625,5.02451225612806,6.04697548272777,5.35,27.5,1275.5,55,35,26,39,51.458730977345,0.228635904083751,928
"1716.McG.PAPrS26",-79.86236055,9.144274282,0.1,"EMP",1,26.4583339691162,19327,2389.63696289062,4.98259572352064,6.07080372127005,5.1,27.5,907,158,35.5,28.5,36.5,61.2578567936469,0.277486570825458,933.8
"1716.McG.PAPrS27",-79.88056132,9.144331143,0.1,"EMP",1,26.4583339691162,19327,2389.63696289062,4.98259572352064,6.07080372127005,5.2,25.5,940.5,155,32,29.5,40,60.370880013654,0.27307222895261,669.2
"1716.McG.PAPrS28",-79.83497105,9.17132473,0.1,"EMP",1,26.5557498931885,19357.1666666667,2389.63696289062,4.98259572352064,6.09900620227766,5.4,25.5,1116.5,78,32.5,26,41.5,55.9305645318538,0.250856849300521,978.4
"1716.McG.PAPrS30",-79.86233432,9.153322089,0.1,"EMP",1,26.4583339691162,19327,2389.63696289062,4.98259572352064,6.07080372127005,5.2,23.5,1065.5,97,33.5,27.5,39,57.3396841163225,0.257991080742128,944.5
